FREQ	Frequenza	REF_AREA	Territorio	DATA_TYPE	Indicatore	FORM_VOLUNT	Tipo di volontariato	TIME_PERIOD	Osservazione	OBS_STATUS	'Stato dell"'osservazione'
A	Annuale	IT	Italia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	77053		
A	Annuale	IT	Italia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	56585		
A	Annuale	IT	Italia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	125289		
A	Annuale	IT	Italia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	84276		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	16		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	11		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	18.7		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	17.8		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	19		
A	Annuale	IT	Italia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	18		
A	Annuale	ITC	Nord-ovest	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	779		
A	Annuale	ITC	Nord-ovest	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	815		
A	Annuale	ITC	Nord-ovest	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	1304		
A	Annuale	ITC	Nord-ovest	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	1045		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	5.6		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	5.9		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	9.4		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	7.6		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	14		
A	Annuale	ITC	Nord-ovest	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	10.9		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	13883		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	8389		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	27686		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	22360		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	41569		
A	Annuale	ITC	Nord-ovest	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	30748		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	17.8		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	10.3		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	21.2		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	21.4		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	21.3		
A	Annuale	ITC	Nord-ovest	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	20.3		
A	Annuale	ITC1	Piemonte	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	180		
A	Annuale	ITC1	Piemonte	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	216		
A	Annuale	ITC1	Piemonte	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	335		
A	Annuale	ITC1	Piemonte	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	235		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	4.7		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	5.8		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	8.7		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	6.3		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	12.2		
A	Annuale	ITC1	Piemonte	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	10.8		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	3377		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	2492		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	8384		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	4012		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	11761		
A	Annuale	ITC1	Piemonte	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	6504		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	18.8		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	11.6		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	25.1		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	17.1		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	24.9		
A	Annuale	ITC1	Piemonte	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	16.2		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	6		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	4		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	10		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	7		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	5.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	3.9		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	8.7		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	6.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	13.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	8.2		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	76		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	70		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	244		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	125		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	319		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	195		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	12.4		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	16.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	25.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	17.8		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	21.5		
A	Annuale	ITC2	'Valle d"'Aosta / Vallée d"'Aoste'	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	22.1		
A	Annuale	ITC3	Liguria	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	73		
A	Annuale	ITC3	Liguria	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	95		
A	Annuale	ITC3	Liguria	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	89		
A	Annuale	ITC3	Liguria	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	81		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	5.1		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	7.1		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	6.3		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	6.1		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	10.6		
A	Annuale	ITC3	Liguria	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	11.3		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	863		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	939		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	1762		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	2151		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	2625		
A	Annuale	ITC3	Liguria	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	3089		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	11.9		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	9.9		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	19.7		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	26.4		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	17.5		
A	Annuale	ITC3	Liguria	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	20.6		
A	Annuale	ITC4	Lombardia	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	521		
A	Annuale	ITC4	Lombardia	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	500		
A	Annuale	ITC4	Lombardia	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	871		
A	Annuale	ITC4	Lombardia	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	722		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	6.1		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	5.8		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	10.2		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	8.3		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	15.4		
A	Annuale	ITC4	Lombardia	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	11		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	9568		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	4889		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	17296		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	16072		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	26864		
A	Annuale	ITC4	Lombardia	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	20961		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	18.4		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	9.8		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	19.9		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	22.3		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	20.5		
A	Annuale	ITC4	Lombardia	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	22		
A	Annuale	ITD	Nord-est	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	708		
A	Annuale	ITD	Nord-est	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	627		
A	Annuale	ITD	Nord-est	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	1021		
A	Annuale	ITD	Nord-est	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	911		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	7.1		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	6.2		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	10.2		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	9.1		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2013	16.1		
A	Annuale	ITD	Nord-est	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	TOTAL	Totale	2023	13.1		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	11105		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	6916		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	20218		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	14979		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	31323		
A	Annuale	ITD	Nord-est	HUA_15	Numero di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	21895		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2013	15.7		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	DIRVOL	Volontariato non organizzato	2023	11		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2013	19.8		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	ORGVOL	Volontariato organizzato	2023	16.4		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2013	19.4		
A	Annuale	ITD	Nord-est	HAUA_15	Numero medio di ore di volontariato svolte dalle persone di 15 anni e più in 4 settimane	TOTAL	Totale	2023	16.6		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2013	71		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	DIRVOL	Volontariato non organizzato	2023	58		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2013	139		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAAV	Persone di 15 anni e più che hanno svolto attività gratuite	ORGVOL	Volontariato organizzato	2023	148		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2013	8.1		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	DIRVOL	Volontariato non organizzato	2023	6.4		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2013	15.8		
A	Annuale	ITDA	Trentino Alto Adige / Südtirol	PGE15_UAPV	Persone di 15 anni e più che hanno svolto attività di volontariato (valori percentuali)	ORGVOL	Volontariato organizzato	2023	16.2		
